epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.18265,0,23.7552,0,0,0,0,0,0,9.44148,0,0,0,0
2,2.28434,0,23.7791,0,0,0,0,0,0,9.44876,0,1.63399e-05,1.63399e-05,1.63399e-05
3,3.39147,0,23.6862,0,0,0,0,0,0,9.45651,0,3.20197e-05,3.20197e-05,3.20197e-05
4,4.48183,0,23.6569,0,0,0,0,0,0,9.46376,0,4.70394e-05,4.70394e-05,4.70394e-05
5,5.59956,0,23.503,0,0,0,0,0,0,9.47066,0,6.13989e-05,6.13989e-05,6.13989e-05
6,6.66714,0,23.4161,0,0,0,0,0,0,9.47801,0,7.50984e-05,7.50984e-05,7.50984e-05
7,7.81789,0,23.2982,0,0,0,0,0,0,9.48093,0,8.81376e-05,8.81376e-05,8.81376e-05
8,8.91615,0,23.1765,0,0,0,0,0,0,9.48161,0,0.000100517,0.000100517,0.000100517
9,10.0465,0,23.0747,0,0,0,0,0,0,9.47851,0,0.000112236,0.000112236,0.000112236
10,11.1015,0,23.0006,0,0,0,0,0,0,9.47386,0,0.000123295,0.000123295,0.000123295
11,12.1337,0,22.7652,0,0,0,0,0,0,9.46792,0,0.000133693,0.000133693,0.000133693
12,13.1492,0,22.6379,0,0,0,0,0,0,9.4599,0,0.000143432,0.000143432,0.000143432
13,14.2878,0,22.4753,0,0,0,0,0,0,9.45177,0,0.00015251,0.00015251,0.00015251
14,15.3654,0,22.4318,0,0,0,0,0,0,9.44756,0,0.000160929,0.000160929,0.000160929
15,16.4461,0,22.2428,0,0,0,0,0,0,9.44536,0,0.000168687,0.000168687,0.000168687
16,17.449,0,21.9323,0,0,0,0,0,0,9.44471,0,0.000175785,0.000175785,0.000175785
17,18.4675,0,21.8434,0,0,0,0,0,0,9.44552,0,0.000182223,0.000182223,0.000182223
18,19.4332,0,21.5883,0,0,0,0,0,0,9.44552,0,0.000188001,0.000188001,0.000188001
19,20.4824,0,21.6123,0,0,0,0,0,0,9.45372,0,0.000193119,0.000193119,0.000193119
20,21.4671,0,21.4367,0,0,0,0,0,0,9.45372,0,0.000197576,0.000197576,0.000197576
21,22.5008,0,21.3221,0,0,0,0,0,0,9.46992,0,0.000201374,0.000201374,0.000201374
22,23.4824,0,21.2193,0,0,0,0,0,0,9.46992,0,0.000204511,0.000204511,0.000204511
23,24.5536,0,21.1107,0,0,0,0,0,0,9.48978,0,0.000206988,0.000206988,0.000206988
24,25.5342,0,20.9307,0,0,0,0,0,0,9.48978,0,0.000208805,0.000208805,0.000208805
25,26.7298,0,20.9857,0,0,0,0,0,0,9.50789,0,0.000209962,0.000209962,0.000209962
26,27.7229,0,20.8137,0,0,0,0,0,0,9.50789,0,0.000210459,0.000210459,0.000210459
27,28.9151,0,20.846,0,0,0,0,0,0,9.5228,0,0.000210295,0.000210295,0.000210295
28,30.0637,0,20.3254,0,0,0,0,0,0,9.5228,0,0.000209472,0.000209472,0.000209472
29,31.3135,0,20.4625,0,0,0,0,0,0,9.54009,0,0.000207988,0.000207988,0.000207988
30,32.3501,0,20.4624,0,0,0,0,0,0,9.54009,0,0.000205844,0.000205844,0.000205844
31,33.4014,0,20.2328,0,0,0,0,0,0,9.56402,0,0.000203041,0.000203041,0.000203041
32,34.4506,0,19.9342,0,0,0,0,0,0,9.56402,0,0.000199577,0.000199577,0.000199577
33,35.5495,0,19.9724,0,0,0,0,0,0,9.5754,0,0.000195452,0.000195452,0.000195452
34,36.5492,0,19.6762,0,0,0,0,0,0,9.5754,0,0.000190668,0.000190668,0.000190668
35,37.6668,0,19.729,0,0,0,0,0,0,9.54713,0,0.000185224,0.000185224,0.000185224
36,38.6805,0,19.4131,0,0,0,0,0,0,9.54713,0,0.000179119,0.000179119,0.000179119
37,39.8146,0,19.4136,0,0,0,0,0,0,9.51278,0,0.000172354,0.000172354,0.000172354
38,40.8986,0,19.1563,0,0,0,0,0,0,9.51278,0,0.00016493,0.00016493,0.00016493
39,41.9889,0,19.1629,0,0,0,0,0,0,9.46245,0,0.000156845,0.000156845,0.000156845
40,43.0814,0,19.1326,0,0,0,0,0,0,9.46245,0,0.0001481,0.0001481,0.0001481
41,44.2289,0,18.9306,0,0,0,0,0,0,9.38323,0,0.000138694,0.000138694,0.000138694
42,45.2501,0,18.6235,0,0,0,0,0,0,9.38323,0,0.000128629,0.000128629,0.000128629
43,46.3145,0,18.8834,0,0,0,0,0,0,9.32302,0,0.000117904,0.000117904,0.000117904
44,47.3433,0,20.0221,0,0,0,0,0,0,9.32302,0,0.000106518,0.000106518,0.000106518
45,48.4845,0,18.8516,0,0,0,0,0,0,9.39686,0,9.44722e-05,9.44722e-05,9.44722e-05
46,49.5004,0,20.1574,0,0,0,0,0,0,9.39686,0,8.17663e-05,8.17663e-05,8.17663e-05
47,50.5532,0,18.5062,0,0,0,0,0,0,9.51212,0,6.84003e-05,6.84003e-05,6.84003e-05
48,51.5754,0,18.4328,0,0,0,0,0,0,9.51212,0,5.43742e-05,5.43742e-05,5.43742e-05
49,52.6328,0,18.4426,0,0,0,0,0,0,9.4676,0,3.96879e-05,3.96879e-05,3.96879e-05
50,53.6576,0,19.3499,0,0,0,0,0,0,9.4676,0,2.43415e-05,2.43415e-05,2.43415e-05
